shutter_time,counts
0.00598973,284
0.00600087,303
0.006012,290
0.00602313,276
0.00603427,262
0.0060454,267
0.00605653,288
0.00606767,253
0.0060788,270
0.00608993,272
0.00610107,230
0.0061122,254
0.00612333,243
0.00613447,253
0.0061456,270
0.00615673,271
0.00616787,239
0.006179,238
0.00619013,205
0.00620127,225
0.0062124,230
0.00622353,274
0.00623467,241
0.0062458,241
0.00625693,254
0.00626807,254
0.0062792,226
0.00629033,247
0.00630147,240
0.0063126,225
0.00632373,185
0.00633487,211
0.006346,234
0.00635713,243
0.00636827,223
0.0063794,229
0.00639053,205
0.00640167,203
0.0064128,220
0.00642393,230
0.00643507,222
0.0064462,209
0.00645733,216
0.00646847,211
0.0064796,212
0.00649073,161
0.00650187,186
0.006513,174
0.00652413,185
0.00653527,189
0.0065464,225
0.00655753,191
0.00656867,192
0.0065798,201
0.00659093,173
0.00660207,201
0.0066132,187
0.00662433,176
0.00663547,187
0.0066466,205
0.00665773,200
0.00666887,228
0.00668,182
0.00669113,173
0.00670227,169
0.0067134,153
0.00672453,199
0.00673567,189
0.0067468,199
0.00675793,168
0.00676907,204
0.0067802,206
0.00679133,206
0.00680247,191
0.0068136,210
0.00682473,192
0.00683587,212
0.006847,190
0.00685813,193
0.00686927,217
0.0068804,213
0.00689153,190
0.00690267,175
0.0069138,184
0.00692493,185
0.00693607,203
0.0069472,157
0.00695833,194
0.00696947,199
0.0069806,168
0.00699173,192
0.00700287,177
0.007014,165
0.00702513,177
0.00703627,219
0.0070474,187
0.00705853,182
0.00706967,177
0.0070808,190
0.00709193,209
0.00710307,172
0.0071142,200
0.00712533,196
0.00713647,167
0.0071476,193
0.00715873,187
0.00716987,168
0.007181,137
0.00719213,160
0.00720327,168
0.0072144,155
0.00722553,144
0.00723667,185
0.0072478,172
0.00725893,153
0.00727007,182
0.0072812,184
0.00729233,139
0.00730347,140
0.0073146,170
0.00732573,146
0.00733687,151
0.007348,175
0.00735913,154
0.00737027,154
0.0073814,128
0.00739253,136
0.00740367,122
0.0074148,152
0.00742593,161
0.00743707,144
0.0074482,179
0.00745933,144
0.00747047,146
0.0074816,130
0.00749273,137
0.00750387,115
0.007515,153
0.00752613,122
0.00753727,139
0.0075484,144
0.00755953,139
0.00757067,108
0.0075818,143
0.00759293,144
0.00760407,120
0.0076152,114
0.00762633,103
0.00763747,109
0.0076486,129
0.00765973,103
0.00767087,106
0.007682,141
0.00769313,135
0.00770427,145
0.0077154,134
0.00772653,125
0.00773767,146
0.0077488,141
0.00775993,147
0.00777107,117
0.0077822,156
0.00779333,155
0.00780447,132
0.0078156,135
0.00782673,127
0.00783787,124
0.007849,124
0.00786013,112
0.00787127,123
0.0078824,129
0.00789353,131
0.00790467,105
0.0079158,127
0.00792693,132
0.00793807,122
0.0079492,121
0.00796033,124
0.00797147,111
0.0079826,134
0.00799373,118
0.00800487,108
0.008016,116
0.00802713,120
0.00803827,134
0.0080494,156
0.00806053,124
0.00807167,126
0.0080828,117
0.00809393,102
0.00810507,100
0.0081162,116
0.00812733,124
0.00813847,133
0.0081496,121
0.00816073,94
0.00817187,89
0.008183,107
0.00819413,122
0.00820527,87
0.0082164,98
0.00822753,106
0.00823867,114
0.0082498,120
0.00826093,113
0.00827207,102
0.0082832,91
0.00829433,75
0.00830547,92
0.0083166,90
0.00832773,119
0.00833887,78
0.00835,95
0.00836113,101
0.00837227,104
0.0083834,97
0.00839453,113
0.00840567,110
0.0084168,126
0.00842793,99
0.00843907,113
0.0084502,86
0.00846133,105
