TOF(ms)	Counts
14.273547	132
14.283553	160
14.293559	105
14.303565	143
14.313571	138
14.323577	134
14.333583	109
14.343589	127
14.353595	139
14.363601	151
14.373607	121
14.383613	178
14.393619	109
14.403625	131
14.413631	119
14.423637	121
14.433643	155
14.443649	124
14.453655	124
14.463661	132
14.473667	130
14.483673	123
14.493679	114
14.503685	137
14.513691	127
14.523697	146
14.533703	117
14.543709	150
14.553715	137
14.563721	141
14.573727	138
14.583733	146
14.593739	123
14.603745	141
14.613751	145
14.623757	128
14.633763	155
14.643769	132
14.653775	176
14.663781	115
14.673787	109
14.683793	117
14.693799	161
14.703805	141
14.713811	122
14.723817	131
14.733823	132
14.743829	118
14.753835	117
14.763841	130
14.773847	131
14.783853	116
14.793859	124
14.803865	141
14.813871	158
14.823877	94
14.833883	119
14.843889	115
14.853895	125
14.863901	153
14.873907	150
14.883913	140
14.893919	106
14.903925	126
14.913930	121
14.923936	117
14.933942	146
14.943948	143
14.953954	125
14.963960	141
14.973966	124
14.983972	142
14.993978	125
15.003984	127
15.013990	131
15.023996	134
15.034002	122
15.044008	135
15.054014	130
15.064020	106
15.074026	127
15.084032	121
15.094038	137
15.104044	143
15.114050	124
15.124056	126
15.134062	126
15.144068	114
15.154074	137
15.164080	121
15.174086	135
15.184092	117
15.194098	139
15.204104	114
15.214110	107
15.224116	119
15.234122	154
15.244128	123
15.254134	124
15.264140	115
15.274146	168
15.284152	132
15.294158	132
15.304164	128
15.314170	123
15.324176	140
15.334182	148
15.344188	130
15.354194	145
15.364200	139
15.374206	148
15.384212	127
15.394218	126
15.404224	124
15.414230	112
15.424236	131
15.434242	132
15.444248	89
15.454254	130
15.464260	139
15.474266	98
15.484272	148
15.494278	163
15.504284	155
15.514290	136
15.524296	132
15.534302	144
15.544308	128
15.554314	130
15.564320	120
15.574326	135
15.584332	114
15.594338	106
15.604344	128
15.614350	128
15.624356	131
15.634362	147
15.644368	116
15.654374	111
15.664380	144
15.674386	132
15.684392	144
15.694398	153
15.704404	112
15.714410	123
15.724416	126
15.734422	121
15.744428	121
15.754434	142
15.764440	135
15.774446	146
15.784452	133
15.794458	132
15.804464	144
15.814470	133
15.824476	142
15.834482	121
15.844488	145
15.854494	128
15.864500	141
15.874506	142
15.884512	141
15.894518	113
15.904524	148
15.914530	102
15.924536	148
15.934542	144
15.944548	97
15.954554	134
15.964560	135
15.974566	143
15.984572	98
15.994578	135
16.004584	115
16.014590	125
16.024596	115
16.034602	118
16.044608	108
16.054614	121
16.064620	139
16.074626	106
16.084632	143
16.094638	113
16.104643	115
16.114649	143
16.124655	137
16.134661	122
16.144667	131
16.154673	133
16.164679	117
16.174685	152
16.184691	119
16.194697	121
16.204703	124
16.214709	152
16.224715	157
16.234721	144
16.244727	140
16.254733	133
16.264739	125
16.274745	123
16.284751	113
16.294757	119
16.304763	133
16.314769	130
16.324775	142
16.334781	142
16.344787	138
16.354793	132
16.364799	110
16.374805	133
16.384811	132
16.394817	132
